ammo,damage_body,damage_head,damage_leg,dps,info,mag_base,mag_l3,modes,name,projectile_speed,reload_full_base,reload_full_l3,reload_tac_base,reload_tac_l3,rpm,type
,18,32,29,202,,20,32,,HAVOC Rifle,30500,3.2,2.88,3.2,2.88,672,AR
,18,32,29,180,,19,29,/,VK-47 Flatline,24000,3.1,2.79,2.4,2.16,600,AR
,19,33,30,116,,18,30,/,Hemlok Burst AR,27500,2.85,2.57,2.4,2.16,365,AR
,,,,,Incomplete data in table,,,,384,,,,,,,122
,13,23,22,176,,21,31,/,R-301 Carbine,29000,3.2,2.88,2.4,2.16,810,AR
,16,28,26,155,,20,32,,Nemesis Burst AR,31000,2.7,2.43,2.7,2.43,582,AR
,16,20,19,160,,19,28,,Alternator SMG,19000,2.23,2.01,1.9,1.71,600,SMG
,15,23,21,145,,20,35,,Prowler Burst PDW,18000,2.6,2.34,2,1.8,579,SMG
,,,,,Incomplete data in table,,,,R-99 SMG,,,,,,,SMG
,,,,,Incomplete data in table,,,,11 min,,,,,,,14 min
,15,19,18,180,,19,26,,Volt SMG,20000,2.03,1.83,1.44,1.3,720,SMG
,12,15,14,186,,19,27,,C.A.R. SMG,18000,2.13,1.92,1.7,1.53,930,SMG
,,,,,Incomplete data in table,,,,Devotion LMG,,,,,,,LMG
,17,26,24,170,,24,30,,L-STAR EMG,24000,2.45,2.21,2.45,2.21,600,LMG
,18,27,25,162,,35,50,,M600 Spitfire,27500,4.2,3.78,3.4,3.06,540,LMG
,26,39,36,130,,28,40,,Rampage LMG,26500,4,3.6,3.1,2.79,300,LMG
,,,,,Incomplete data in table,,,,390,,,,,,,169
,33,58,53,139,,10,20,,G7 Scout,30000,2.7,2.43,2.16,1.94,252,Marksman
,63,111,102,85,,6,10,,Triple Take,32000,3.06,2.75,2.34,2.11,81,Marksman
,,,,,Incomplete data in table,,,,8,,,,,,,9
,,,,,Incomplete data in table,,,,30-30 Repeater,,,,,,,Marksman
,,,,,Incomplete data in table,,,,53 max,,,,,,,93 max
,,,,,Incomplete data in table,,,,Bocek Compound Bow,,,,,,,Marksman
,,,,,Incomplete data in table,,,,70 max,,,,,,,123 max
,,,,,Incomplete data in table,,,,Bocek Compound Bow,,,,,,,Marksman
,,,,,Incomplete data in table,,,,84 max,,,,,,,105 max
,75 min,150 min,135 min,48,,4,8,,Charge Rifle,33501,4.6,4.14,3.5,3.15,26,Sniper
,,,,,Incomplete data in table,,,,110 max,,,,,,,220 max
,55,124,110,72,,6,12,,Longbow DMR,30500,3.66,3.29,2.66,2.39,78,Sniper
,,,,,Incomplete data in table,,,,Kraber .50-Cal Sniper,,,,,,,Sniper
,70,140,126,44,,4,7,,Sentinel,31000,3.6,3.24,2.5,2.25,38,Sniper
,,,,,Incomplete data in table,,,,88,,,,,,,176
,,,,,Incomplete data in table,,,,10,,,,,,,1.75
,,,,,Incomplete data in table,,,,Mastiff Shotgun,,,,,,,Shotgun
,,,,,Incomplete data in table,,,,Mozambique Shotgun,,,,,,,Shotgun
,,,,,Incomplete data in table,,,,54,,,,,,,69
,,,,,Incomplete data in table,,,,Mozambique Shotgun Akimbo,,,,,,,Shotgun
,,,,,Incomplete data in table,,,,54,,,,,,,69
,,,,,Incomplete data in table,,,,RE-45 Auto,,,,,,,Pistol
,,,,,Incomplete data in table,,,,16,,,,,,,24
,,,,,Incomplete data in table,,,,P2020,,,,,,,Pistol
,,,,,Incomplete data in table,,,,23,,,,,,,35
,,,,,Incomplete data in table,,,,P2020 Akimbo,,,,,,,Pistol
,,,,,Incomplete data in table,,,,23,,,,,,,35
,,,,,Incomplete data in table,,,,Wingman,,,,,,,Pistol
,,,,,Incomplete data in table,,,,8,,,,,,,1.4
